product_id,product_name,default_code,category,stock_uom,stock_uom_categ,purchase_uom,purchase_uom_categ,last_po_uom,last_po_uom_categ,last_po_date,bom_line_uoms,bom_count,flags,proposed_bucket,proposed_kg_per_l
1574,Lager beer,,All / RAW MATERIALS,kg,Weight,kg,Weight,,,,kg,1,,,
943,"Mango Puree (Alphonso), canned 850g",,All / RAW MATERIALS / Dry Goods,"0,85kg Can",Weight,"0,85kg Can",Weight,,,,kg,1,,,
902,Mayonnaise 10kg Eimer,,All / RAW MATERIALS / Condiments & Liquids,10kg,Weight,10kg,Weight,,,,kg,7,,,
1150,Mijak (Korean Fish Stock),,All / RAW MATERIALS / Condiments & Liquids,L,Volume,L,Volume,,,,L,6,,,
1566,"Milk, UHT 3.5% (H-Milch) 1L",,All / RAW MATERIALS / Dairy & Eggs,kg,Weight,kg,Weight,,,,kg,1,,,
1151,Mirin,,All / RAW MATERIALS / Condiments & Liquids,L,Volume,L,Volume,,,,L,6,,,
955,Modified starch (E1422),,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,,,,kg,1,,,
890,MSG,,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,29,,,
1152,Mushroom Powder,,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,6,,,
921,"Mustard seeds, brown, whole",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,1,,,
912,"Nutmeg, whole",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,4,,,
939,Onion powder,,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,8,,,
944,"Onion, red, fresh",,All / RAW MATERIALS / Fresh Produce / Vegetables,kg,Weight,kg,Weight,,,,kg,3,,,
903,"Onions,  yellow, fresh",,All / RAW MATERIALS / Fresh Produce / Vegetables,kg,Weight,kg,Weight,,,,kg,20,,,
1573,"Onions, yellow, fresh",,All / RAW MATERIALS,kg,Weight,kg,Weight,,,,kg,1,,,
858,Oxtail Dry Spice Premix 1/3,,All / SEMI-FINISHED GOODS / Cooked Components,kg,Weight,kg,Weight,,,,kg,2,,,
